W(m),S(m),B(m),E(GPa),f'c(MPa),a0(m),ac(m),?c,?,F(?c),V(?c),"N(?c, ?)",Pmax (N)Avg,KsIC (MPa),CTODC(mm)
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0339,0.1060,0.2424,1.0038,1.3852,0.8661,12516.6667,0.9613,0.0135
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0342,0.1070,0.2401,1.0033,1.3855,0.8673,12516.6667,0.9654,0.0136
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0346,0.1081,0.2378,1.0027,1.3858,0.8685,12516.6667,0.9695,0.0138
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0349,0.1091,0.2356,1.0022,1.3862,0.8697,12516.6667,0.9736,0.0139
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0352,0.1101,0.2334,1.0016,1.3866,0.8709,12516.6667,0.9776,0.0141
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0356,0.1111,0.2312,1.0011,1.3870,0.8720,12516.6667,0.9816,0.0142
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0359,0.1122,0.2291,1.0006,1.3874,0.8732,12516.6667,0.9856,0.0144
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0362,0.1132,0.2270,1.0000,1.3878,0.8743,12516.6667,0.9896,0.0145
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0365,0.1142,0.2250,0.9995,1.3882,0.8753,12516.6667,0.9936,0.0147
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0369,0.1152,0.2230,0.9990,1.3887,0.8764,12516.6667,0.9976,0.0148
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0372,0.1163,0.2210,0.9986,1.3891,0.8774,12516.6667,1.0015,0.0150
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0375,0.1173,0.2191,0.9981,1.3896,0.8785,12516.6667,1.0054,0.0151
